TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0x8f8706cab050,UDPv6,::,5353,*,0,,972,svchost.exe,2024-08-30 22:45:48.000000 UTC
0,0x8f8706cab1a0,TCPv4,0.0.0.0,3389,0.0.0.0,0,LISTENING,1008,svchost.exe,2024-08-30 22:38:39.000000 UTC
0,0x8f8706cab440,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,796,svchost.exe,2024-08-30 22:38:37.000000 UTC
0,0x8f8706cab440,TCPv6,::,135,::,0,LISTENING,796,svchost.exe,2024-08-30 22:38:37.000000 UTC
0,0x8f8706cab830,TCPv4,0.0.0.0,5357,0.0.0.0,0,LISTENING,4,System,2024-08-30 22:38:55.000000 UTC
0,0x8f8706cab830,TCPv6,::,5357,::,0,LISTENING,4,System,2024-08-30 22:38:55.000000 UTC
0,0x8f8706cac010,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,796,svchost.exe,2024-08-30 22:38:37.000000 UTC
0,0x8f8706cac550,TCPv4,0.0.0.0,49664,0.0.0.0,0,LISTENING,496,wininit.exe,2024-08-30 22:38:37.000000 UTC
0,0x8f8706caca90,UDPv4,0.0.0.0,0,*,0,,428,svchost.exe,2024-08-30 22:38:38.000000 UTC
0,0x8f8706caca90,UDPv6,::,0,*,0,,428,svchost.exe,2024-08-30 22:38:38.000000 UTC
0,0x8f8706cacd30,TCPv4,0.0.0.0,49664,0.0.0.0,0,LISTENING,496,wininit.exe,2024-08-30 22:38:37.000000 UTC
0,0x8f8706cacd30,TCPv6,::,49664,::,0,LISTENING,496,wininit.exe,2024-08-30 22:38:37.000000 UTC
0,0x8f8706cace80,UDPv4,0.0.0.0,0,*,0,,428,svchost.exe,2024-08-30 22:38:38.000000 UTC
0,0x8f8709b9cb20,TCPv4,192.168.0.104,50553,172.64.41.4,443,ESTABLISHED,-,-,-
0,0x8f870a4b8440,TCPv4,0.0.0.0,47001,0.0.0.0,0,LISTENING,4,System,2024-08-30 22:38:43.000000 UTC
0,0x8f870a4b8440,TCPv6,::,47001,::,0,LISTENING,4,System,2024-08-30 22:38:43.000000 UTC
0,0x8f870a4b8590,TCPv4,0.0.0.0,5985,0.0.0.0,0,LISTENING,4,System,2024-08-30 22:38:44.000000 UTC
0,0x8f870a4b8590,TCPv6,::,5985,::,0,LISTENING,4,System,2024-08-30 22:38:44.000000 UTC
0,0x8f870a4b86e0,UDPv4,0.0.0.0,0,*,0,,608,lsass.exe,2024-08-30 22:38:41.000000 UTC
0,0x8f870a4b86e0,UDPv6,::,0,*,0,,608,lsass.exe,2024-08-30 22:38:41.000000 UTC
0,0x8f870a4b8c20,TCPv4,0.0.0.0,49743,0.0.0.0,0,LISTENING,600,services.exe,2024-08-30 22:38:45.000000 UTC
0,0x8f870a4b8c20,TCPv6,::,49743,::,0,LISTENING,600,services.exe,2024-08-30 22:38:45.000000 UTC
0,0x8f870a4b8d70,UDPv4,0.0.0.0,3702,*,0,,2896,svchost.exe,2024-08-30 22:45:50.000000 UTC
0,0x8f870a4b8d70,UDPv6,::,3702,*,0,,2896,svchost.exe,2024-08-30 22:45:50.000000 UTC
0,0x8f870a4b9010,UDPv4,127.0.0.1,52255,*,0,,1344,svchost.exe,2024-08-30 22:38:41.000000 UTC
0,0x8f870a4b9400,TCPv4,0.0.0.0,49675,0.0.0.0,0,LISTENING,1288,spoolsv.exe,2024-08-30 22:38:41.000000 UTC
0,0x8f870a4b9400,TCPv6,::,49675,::,0,LISTENING,1288,spoolsv.exe,2024-08-30 22:38:41.000000 UTC
0,0x8f870a4b9550,TCPv4,0.0.0.0,49743,0.0.0.0,0,LISTENING,600,services.exe,2024-08-30 22:38:45.000000 UTC
0,0x8f870a4b96a0,TCPv4,0.0.0.0,49675,0.0.0.0,0,LISTENING,1288,spoolsv.exe,2024-08-30 22:38:41.000000 UTC
0,0x8f870a4b97f0,UDPv4,0.0.0.0,0,*,0,,608,lsass.exe,2024-08-30 22:38:41.000000 UTC
0,0x8f870a4b9be0,TCPv4,0.0.0.0,445,0.0.0.0,0,LISTENING,4,System,2024-08-30 22:38:43.000000 UTC
0,0x8f870a4b9be0,TCPv6,::,445,::,0,LISTENING,4,System,2024-08-30 22:38:43.000000 UTC
0,0x8f870ac19050,TCPv4,0.0.0.0,49666,0.0.0.0,0,LISTENING,1344,svchost.exe,2024-08-30 22:38:40.000000 UTC
0,0x8f870ac19050,TCPv6,::,49666,::,0,LISTENING,1344,svchost.exe,2024-08-30 22:38:40.000000 UTC
0,0x8f870ac191a0,UDPv4,127.0.0.1,52249,*,0,,608,lsass.exe,2024-08-30 22:38:40.000000 UTC
0,0x8f870ac19440,TCPv4,0.0.0.0,49666,0.0.0.0,0,LISTENING,1344,svchost.exe,2024-08-30 22:38:40.000000 UTC
