TreeDepth,Offset,Name
0,0x8f8709b894c0,\\Windows\\SysWOW64\\cfgmgr32.dll
0,0x8f8709b89650,\\Windows\\SysWOW64\\sspicli.dll
0,0x8f8709b897e0,\\Windows\\SysWOW64\\imagehlp.dll
0,0x8f8709b89970,\\Windows\\SysWOW64\\SHCore.dll
0,0x8f8709b89b00,\\Windows\\SysWOW64\\msvcp_win.dll
0,0x8f8709b89c90,\\Windows\\SysWOW64\\user32.dll
0,0x8f8709b89e20,\\Windows\\SysWOW64\\GdiPlus.dll
0,0x8f8709b8a140,\\ProtectedPrefix
0,0x8f8709b8a2d0,\\Boot\\BCD
0,0x8f8709b8a460,\\Windows\\System32\\csrsrv.dll
0,0x8f8709b8a5f0,\\Windows\\System32\\localspl.dll
0,0x8f8709b8a780,\\Sessions
0,0x8f8709b8a910,\\Windows\\System32\\config\\SOFTWARE
0,0x8f8709b8aaa0,\\Windows\\bootstat.dat
0,0x8f8709b8ac30,\\Windows\\System32\\config\\SYSTEM
0,0x8f8709b8f0c0,\\Windows\\System32\\config\\TxR\\{1c379034-b8ad-11e8-aa21-e41d2d101530}.TMContainer00000000000000000001.regtrans-ms
0,0x8f8709b8f3a0,\\$Directory
0,0x8f8709b8f510,\\SystemRoot\\System32\\Config\\TxR\\{1c379034-b8ad-11e8-aa21-e41d2d101530}.TM
0,0x8f8709b8f680,\\Windows\\System32\\config\\TxR\\{1c379034-b8ad-11e8-aa21-e41d2d101530}.TMContainer00000000000000000002.regtrans-ms
0,0x8f8709b90090,\\Windows\\System32\\LogFiles\\WMI\\RtBackup\\EtwRTEventLog-System.etl
0,0x8f8709b90200,\\Windows\\System32\\LogFiles\\WMI\\RtBackup\\EtwRTDiagLog.etl
0,0x8f8709b907c0,\\$Directory
0,0x8f8709b90c10,\\Windows\\System32\\LogFiles\\WMI\\RtBackup\\EtwRTEventlog-Security.etl
0,0x8f8709b90d80,\\SystemRoot\\System32\\Config\\TxR\\{1c379034-b8ad-11e8-aa21-e41d2d101530}.TM
0,0x8f8709b90ef0,\\$ConvertToNonresident
0,0x8f8709b91060,\\$Directory
0,0x8f8709b911d0,\\$Directory
0,0x8f8709b914b0,\\Windows\\System32\\config\\TxR\\{1c379034-b8ad-11e8-aa21-e41d2d101530}.TM.blf
0,0x8f8709b91790,\\$Secure:$SDH:$INDEX_ALLOCATION
0,0x8f8709b91a70,\\Windows\\System32\\LogFiles\\WMI\\RtBackup\\EtwRTUBPM.etl
0,0x8f8709b93cf0,\\Windows\\System32\\drivers\\monitor.sys
0,0x8f8709baa0d0,\\Windows\\System32\\config\\SYSTEM.LOG1
0,0x8f8709baa260,\\$Directory
0,0x8f8709baa3f0,\\Windows\\System32\\win32kfull.sys
0,0x8f8709baa580,\\Windows\\System32\\CoreShellExtFramework.dll
0,0x8f8709baa710,慌
0,0x8f8709baa8a0,\\Windows\\System32\\container.dll
0,0x8f8709baabc0,\\Windows\\System32\\config\\SYSTEM.LOG2
0,0x8f8709baaee0,\\Windows\\System32\\config\\RegBack\\SOFTWARE
0,0x8f8709bab200,\\Windows\\System32\\daxexec.dll
0,0x8f8709bab390,\\Windows\\System32\\StartTileData.dll
0,0x8f8709bab520,\\Windows\\System32\\win32kbase.sys
0,0x8f8709bab6b0,\\$Directory
0,0x8f8709bab840,\\Windows\\System32\\csrss.exe
0,0x8f8709bab9d0,\\pagefile.sys
0,0x8f8709babcf0,\\Windows\\System32\\config\\SOFTWARE.LOG1
0,0x8f8709babe80,\\Windows\\System32\\config\\SOFTWARE.LOG2
0,0x8f8709bac330,\\Windows\\System32\\win32k.sys
0,0x8f8709bac650,\\Windows\\System32
0,0x8f8709bac7e0,\\Windows\\System32\\basesrv.dll
0,0x8f8709bac970,\\Windows\\System32\\en-US\\win32kbase.sys.mui
0,0x8f8709bacb00,\\Sessions\\0\\AppContainerNamedObjects
0,0x8f8709bacc90,\\Windows\\System32\\winsrv.dll
0,0x8f8709bace20,\\Windows\\System32\\config\\RegBack\\SYSTEM
0,0x8f8709bad140,\\Boot\\BCD.LOG
0,0x8f8709bad2d0,\\Windows\\System32\\config\\DEFAULT.LOG2
0,0x8f8709bad460,\\Windows\\System32\\en-US\\csrss.exe.mui
0,0x8f8709bad780,\\Windows\\System32\\config\\DEFAULT
0,0x8f8709bad910,\\Windows\\System32\\locale.nls
0,0x8f8709badaa0,\\Windows\\System32\\config\\RegBack\\DEFAULT
0,0x8f8709badc30,\\Windows\\System32\\winsrvext.dll
0,0x8f8709baddc0,\\Windows\\System32\\config\\DEFAULT.LOG1
0,0x8f8709bf90d0,\\Windows\\System32\\sspicli.dll
0,0x8f8709bf9260,\\Windows\\System32\\en-US\\winsrv.dll.mui
0,0x8f8709bf93f0,\\Windows\\System32\\csrss.exe
0,0x8f8709bf9710,\\Windows\\System32\\UXInit.dll
0,0x8f8709bf98a0,\\Windows\\System32\\en-US\\netmsg.dll.mui
0,0x8f8709bf9a30,\\Windows\\System32\\tquery.dll
0,0x8f8709bf9d50,\\Windows\\System32\\wininitext.dll
0,0x8f8709bf9ee0,\\Windows\\System32
0,0x8f8709bfa200,\\Windows\\System32\\sxssrv.dll
0,0x8f8709bfa390,\\Windows\\System32
0,0x8f8709bfa520,\\Windows\\System32\\winlogon.exe
0,0x8f8709bfa6b0,\\Windows\\System32\\userenv.dll
0,0x8f8709bfa840,\\CMApi
0,0x8f8709bfab60,\\Users\\alice\\AppData\\Local\\ConnectedDevicesPlatform\\L.alice\\ActivitiesCache.db-shm
0,0x8f8709bfb1a0,\\Windows\\System32\\wininit.exe
0,0x8f8709bfb330,\\Windows\\System32\\drivers\\dxgmms2.sys
0,0x8f8709bfb650,\\CMApi
0,0x8f8709bfb7e0,\\Windows\\SysWOW64\\dbgcore.dll
0,0x8f8709bfb970,\\Windows\\System32\\cdd.dll
0,0x8f8709bfbc90,\\Windows\\System32\\mssrch.dll
