Volatility 3 Framework 2.28.0

Plugin	Description	Created Date	Modified Date	Accessed Date	Changed Date
PsScan	Process: 480 csrss.exe (157810155516224)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 496 wininit.exe (157810155589760)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 608 lsass.exe (157810155749504)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 600 services.exe (157810155778176)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 732 fontdrvhost.ex (157810156224640)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 796 svchost.exe (157810156261504)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 704 svchost.exe (157810156552704)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 884 dwm.exe (157810157125760)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 4768 firefox.exe (157810157375616)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 320 svchost.exe (157810157384384)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 1204 svchost.exe (157810164105920)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 1568 svchost.exe (157810164949120)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 1588 VSSVC.exe (157810165461120)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 1692 svchost.exe (157810165518464)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 5212 firefox.exe (157810165530752)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 424 firefox.exe (157810165567616)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 1516 svchost.exe (157810165907584)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 1288 spoolsv.exe (157810166919296)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 1356 userinit.exe (157810166927488)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 1872 svchost.exe (157810167034496)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 2116 splunkd.exe (157810167263360)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 5988 firefox.exe (157810167267456)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 272 svchost.exe (157810167419008)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 2092 svchost.exe (157810167423104)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 2152 Sysmon64.exe (157810167939200)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 2144 wlms.exe (157810167947392)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 2276 sppsvc.exe (157810168176768)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 2840 FTK Imager.exe (157810169249920)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 1672 ctfmon.exe (157810169380992)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 2524 unsecapp.exe (157810169434240)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 2820 SppExtComObj.E (157810171080832)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 2772 sihost.exe (157810172772480)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 356 svchost.exe (157810172829824)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 4020 firefox.exe (157810174107776)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 4588 firefox.exe (157810174120064)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 3264 ShellExperienc (157810177679488)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 3800 firefox.exe (157810177695872)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 3444 RuntimeBroker. (157810177749120)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 3388 SearchUI.exe (157810177998976)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 3544 RuntimeBroker. (157810178494592)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 3564 firefox.exe (157810178912384)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 856 firefox.exe (157810178920576)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 3856 RuntimeBroker. (157810179227776)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 1404 firefox.exe (157810179577152)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 5084 updater.exe (157810181292224)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 2160 firefox.exe (157810181369984)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
